,local_surrogate,representation,Sex,Age,Nationality,Highest_education_level_completed,Ethnicity_simplified,QT.1,QT.2,QT.3,QT.4,trust,Duration_in_seconds,QU.1,QU.2,QU.3,QU.4,QU.5,QU.6,QU.7,QU.8,understanding,QS.1,QS.2,QS.3,QS.4,QS.5,QS.6,QS.7,QS.8,satisfaction,b_precision_understanding,b_recall_understanding,b_top_understanding,b_trust,b_ord_trust,increased_trust_after_xai,perceived_trust_in_xai,perceived_understanding_in_xai,time,domain
30,2,0,Male,32,South Africa,2,Mixed,5,4,5,6,5.0,1048.0,4,3,3,4,4,4,4,3,3.625,4,4,2,2,3,4,2,3,3.0,0.32291666666666663,1.0,1.0,,0.0,0.5,4.25,4.25,56.087,Compas
31,2,0,Female,27,South Africa,2,Black,6,6,5,5,5.5,1144.0,4,4,3,2,4,4,4,4,3.625,4,4,5,4,4,4,4,3,4.0,0.6666666666666666,0.625,0.75,1.0,0.75,0.0,4.75,4.75,75.28325000000001,Compas
32,2,0,Male,38,Portugal,2,White,6,7,6,6,6.25,1264.0,4,5,4,4,4,5,5,5,4.5,5,4,5,4,5,4,4,5,4.5,0.4125,0.75,1.0,1.0,0.25,-0.25,4.75,4.75,46.385749999999994,Compas
33,2,0,Male,21,South Africa,0,Black,5,3,5,5,4.5,1316.0,3,4,3,5,3,4,4,4,3.75,5,4,4,4,4,4,4,3,4.0,0.25,0.5,0.5,0.5,0.5,0.25,3.25,4.25,30.7835,Compas
34,2,0,Male,31,South Africa,2,Black,6,6,6,6,6.0,805.0,3,3,4,3,4,3,4,3,3.375,4,5,3,4,3,4,3,3,3.625,0.4583333333333333,0.5,0.75,1.0,0.75,0.25,4.0,3.25,49.2115,Compas
35,2,0,Female,33,South Africa,2,Black,4,5,3,4,4.0,1323.0,3,4,2,2,4,4,4,4,3.375,5,3,3,2,4,3,3,4,3.375,0.875,0.625,0.75,0.0,0.0,0.25,3.5,4.5,102.449,Compas
36,2,0,Male,40,Portugal,3,White,7,7,7,6,6.75,1582.0,5,4,4,4,4,4,5,4,4.25,5,4,5,4,5,5,4,4,4.5,0.675,0.875,1.0,,0.0,0.75,5.0,5.0,133.3515,Compas
37,2,0,Female,28,Hungary,2,White,6,7,6,6,6.25,590.0,4,4,5,4,5,4,4,5,4.375,5,3,4,4,4,4,3,4,3.875,0.3333333333333333,0.625,0.75,1.0,0.25,0.25,4.75,4.75,57.50750000000001,Compas
38,2,0,Male,34,Zimbabwe,2,Black,7,7,7,6,6.75,3241.0,4,5,4,5,4,5,4,5,4.5,5,5,5,4,4,4,4,2,4.125,0.375,0.75,1.0,0.0,0.0,0.0,4.5,4.25,239.60349999999997,Compas
39,2,0,Male,35,United Kingdom,2,White,4,5,5,6,5.0,395.0,3,4,3,4,2,4,4,4,3.5,4,4,3,3,4,4,3,2,3.375,0.425,0.875,1.0,0.5,0.75,0.0,3.75,3.75,28.26175,Compas
40,2,0,Male,22,Portugal,2,White,5,6,5,6,5.5,735.0,4,4,3,4,4,4,4,4,3.875,4,4,4,4,4,4,3,4,3.875,0.5833333333333333,0.75,0.75,0.3333333333333333,0.25,0.25,3.75,4.0,55.95725,Compas
41,2,1,Male,27,Mexico,0,Other,6,3,5,6,5.0,314.0,4,4,4,5,5,4,4,5,4.375,5,5,4,4,4,5,4,4,4.375,0.5625,0.75,0.75,0.5,0.25,0.5,4.25,5.0,23.416249999999998,Compas
42,2,1,Female,28,United Kingdom,0,White,6,5,6,6,5.75,413.0,4,4,4,5,3,4,4,4,4.0,4,4,4,4,4,4,4,5,4.125,1.0,1.0,1.0,0.5,0.25,0.75,4.75,4.75,33.1965,Compas
43,2,1,Male,20,Poland,1,White,3,7,3,5,4.5,612.0,3,2,2,2,2,3,3,4,2.625,5,5,5,4,5,5,4,3,4.5,0.625,0.875,1.0,0.5,0.25,-0.25,3.25,5.0,39.329750000000004,Compas
44,2,1,Female,23,Portugal,2,White,4,6,4,4,4.5,597.0,3,4,2,3,4,4,4,4,3.5,5,2,5,4,4,4,5,5,4.25,0.7916666666666666,1.0,1.0,0.0,-0.5,0.5,3.5,4.25,46.771750000000004,Compas
45,2,1,Male,21,Greece,0,White,6,6,5,6,5.75,916.0,4,4,2,5,4,4,4,5,4.0,5,3,4,3,5,4,4,5,4.125,0.1625,0.5,0.5,0.5,0.25,0.5,4.5,4.75,52.13875,Compas
46,2,1,Male,24,Portugal,2,White,4,7,5,6,5.5,671.0,4,4,2,5,4,5,4,4,4.0,4,3,2,2,3,4,4,4,3.25,1.0,1.0,1.0,1.0,0.5,-0.25,3.75,4.5,46.935249999999996,Compas
47,2,1,Female,29,Portugal,3,White,6,6,6,6,6.0,720.0,4,4,3,2,4,4,4,4,3.625,5,5,5,4,4,4,4,4,4.375,0.6833333333333332,0.875,0.75,0.0,0.0,0.25,4.5,4.5,49.185,Compas
48,2,1,Female,27,Canada,2,White,5,6,6,6,5.75,794.0,2,4,2,1,5,4,4,5,3.375,5,4,5,5,5,4,3,4,4.375,0.5,0.75,1.0,0.5,0.25,-0.25,3.75,4.75,52.72525,Compas
49,2,1,Male,59,Italy,0,White,2,6,1,4,3.25,943.0,2,1,1,5,3,3,4,3,2.75,4,2,3,2,3,2,2,4,2.75,0.1875,0.375,0.5,0.0,0.25,0.5,3.0,4.0,43.5515,Compas
50,2,1,Male,23,South Africa,0,Black,6,6,5,6,5.75,880.0,4,4,5,5,4,4,5,4,4.375,4,4,4,3,4,3,2,4,3.5,0.875,1.0,1.0,0.5,0.25,-0.25,4.25,4.25,63.20075,Compas
51,2,1,Female,49,United Kingdom,1,White,4,3,3,4,3.5,971.0,4,4,2,4,4,3,5,4,3.75,4,5,5,5,5,4,5,4,4.625,0.3333333333333333,0.75,0.75,0.0,0.0,0.25,3.0,3.25,64.24475000000001,Compas
52,2,1,Male,21,Poland,2,White,5,6,6,6,5.75,1043.0,4,4,1,2,5,5,4,5,3.75,5,4,4,4,5,4,4,4,4.25,0.44166666666666665,1.0,1.0,0.0,0.0,0.75,3.75,5.0,70.52624999999999,Compas
53,2,1,Male,20,Portugal,0,White,5,6,5,6,5.5,992.0,4,4,2,3,5,4,2,5,3.625,5,3,3,3,2,2,2,3,2.875,0.5625,0.875,1.0,1.0,0.25,0.25,4.75,5.0,36.87675,Compas
54,2,1,Female,29,Mexico,2,White,5,7,6,6,6.0,1250.0,4,4,2,5,4,5,4,5,4.125,4,4,4,4,4,4,5,5,4.25,0.6666666666666666,1.0,1.0,0.0,0.0,0.25,4.25,4.25,171.74125,Compas
55,2,1,Male,28,South Africa,2,Black,5,7,5,6,5.75,1190.0,4,4,4,4,4,4,4,5,4.125,5,4,5,4,5,4,3,4,4.25,0.4541666666666666,0.875,1.0,1.0,0.25,0.0,4.75,4.75,69.87225,Compas
56,2,1,Male,37,Mexico,3,Mixed,6,7,6,6,6.25,1416.0,4,4,4,5,4,5,5,5,4.5,5,5,5,4,4,4,4,4,4.375,0.7916666666666666,0.875,1.0,1.0,0.25,0.25,4.5,5.0,40.427,Compas
57,2,1,Male,39,Italy,1,White,5,6,5,5,5.25,1288.0,4,4,4,4,3,4,3,4,3.75,4,4,4,4,4,3,4,4,3.875,0.625,0.625,0.75,1.0,0.0,1.25,4.5,4.5,50.79275,Compas
58,2,1,Male,20,South Africa,0,Black,5,1,4,5,3.75,1698.0,4,3,3,4,4,4,5,5,4.0,5,5,4,5,5,4,4,4,4.5,0.25,0.125,0.0,0.6666666666666666,0.5,0.0,4.0,4.25,26.41775,Compas
59,2,1,Male,23,Portugal,3,Mixed,5,5,4,5,4.75,888.0,4,4,3,3,4,4,4,3,3.625,4,4,3,3,3,4,3,3,3.375,0.5,0.75,1.0,0.0,0.25,0.25,3.5,3.75,30.37925,Compas
60,0,0,Female,22,Brazil,2,White,4,4,4,5,4.25,441.0,1,3,2,3,2,3,3,2,2.375,4,2,4,2,3,3,2,3,2.875,0.75,0.49999999999999994,0.75,1.0,0.5,1.0,4.5,4.0,25.91975,Compas
61,0,0,Male,26,Greece,0,White,6,4,6,7,5.75,418.0,3,5,4,4,4,5,5,4,4.25,5,4,5,4,5,5,4,4,4.5,0.5583333333333333,0.75,1.0,0.6666666666666666,0.75,0.25,4.25,4.25,23.569499999999998,Compas
62,0,0,Female,35,Italy,3,White,5,5,5,5,5.0,546.0,5,4,4,4,4,4,4,4,4.125,5,4,4,4,4,4,4,4,4.125,0.3333333333333333,0.37499999999999994,0.5,,0.0,0.5,4.5,4.5,33.71375,Compas
63,0,0,Female,47,South Africa,2,Black,4,5,5,5,4.75,762.0,2,4,4,4,2,3,4,4,3.375,4,3,2,2,3,4,4,4,3.25,0.6666666666666666,0.49999999999999994,0.75,0.5,0.25,0.75,3.75,4.0,39.948499999999996,Compas
64,0,0,Male,32,Brazil,3,Mixed,6,7,6,5,6.0,595.0,4,5,5,4,4,4,3,4,4.125,5,5,5,5,4,4,5,4,4.625,0.625,0.41666666666666663,0.75,0.0,0.0,0.5,4.0,4.75,30.65675,Compas
65,0,0,Male,20,Portugal,0,White,4,3,5,4,4.0,571.0,5,4,2,5,4,3,2,5,3.75,4,5,4,4,4,5,3,4,4.125,0.725,0.625,1.0,0.0,0.0,0.0,2.75,3.25,31.846999999999998,Compas
66,0,0,Female,26,Mexico,2,Other,5,6,5,5,5.25,608.0,4,4,3,5,4,5,3,5,4.125,5,4,4,4,5,4,5,4,4.375,0.3958333333333333,0.7083333333333333,1.0,0.5,0.25,0.5,4.0,4.25,38.36525,Compas
67,0,0,Female,24,Spain,3,White,6,6,6,7,6.25,749.0,4,3,4,4,5,5,5,5,4.375,5,4,4,4,5,5,4,5,4.5,0.75,0.75,1.0,1.0,0.5,0.5,4.75,4.75,91.56375,Compas
68,0,0,Male,28,Greece,3,White,5,7,5,5,5.5,727.0,3,3,4,4,4,5,5,5,4.125,5,4,3,3,3,4,4,3,3.625,0.525,1.0,1.0,0.5,0.25,-0.25,3.75,3.75,50.87325,Compas
69,0,0,Female,52,China,2,Asian,6,7,6,6,6.25,808.0,5,4,4,4,5,4,4,4,4.25,5,5,4,4,5,5,5,5,4.75,0.3988095238095238,1.0,1.0,,0.0,0.25,4.25,4.75,71.74300000000001,Compas
70,0,0,Male,22,Portugal,3,White,6,5,5,6,5.5,1240.0,5,3,4,4,4,4,4,5,4.125,5,5,5,5,4,4,4,4,4.5,0.4375,0.7916666666666666,1.0,0.0,0.0,0.0,4.0,4.25,47.562,Compas
71,0,0,Male,23,Mexico,2,White,6,5,6,6,5.75,1062.0,4,3,4,4,5,4,5,4,4.125,5,5,4,5,4,4,3,4,4.25,0.875,0.9166666666666666,1.0,,0.0,0.5,5.0,4.75,65.26650000000001,Compas
72,0,0,Male,27,Poland,2,Other,6,6,5,5,5.5,1224.0,4,4,3,5,5,4,4,5,4.25,5,3,2,4,4,4,4,4,3.75,0.7083333333333333,0.7083333333333333,1.0,0.0,0.0,0.5,4.25,4.25,88.6005,Compas
73,0,0,Female,34,Italy,2,White,5,4,4,5,4.5,1390.0,3,2,2,5,4,4,4,4,3.5,4,3,2,2,2,4,3,4,3.0,0.3333333333333333,0.37499999999999994,0.5,0.5,0.25,1.0,3.0,3.75,90.79625,Compas
74,0,0,Female,24,Poland,0,White,5,6,5,6,5.5,1710.0,4,4,4,5,5,4,5,5,4.5,4,4,4,4,4,4,3,4,3.875,0.6458333333333333,0.75,1.0,1.0,0.75,0.25,4.25,4.5,128.9875,Compas
75,0,0,Female,25,United States,0,White,5,5,5,5,5.0,2728.0,4,2,1,2,4,4,3,4,3.0,4,4,4,4,4,2,2,2,3.25,0.75,0.49999999999999994,0.75,1.0,0.5,0.5,4.25,4.0,53.527249999999995,Compas
76,0,0,Male,27,Portugal,2,White,6,6,6,6,6.0,531.0,3,3,3,4,4,4,4,4,3.625,4,4,4,4,4,4,4,3,3.875,0.4208333333333333,1.0,1.0,0.0,0.0,0.0,4.0,4.75,41.80975,Compas
77,0,0,Male,21,Portugal,3,White,6,6,6,6,6.0,526.0,3,4,4,4,4,4,3,5,3.875,5,4,4,3,4,4,4,4,4.0,0.7916666666666666,0.8333333333333334,1.0,1.0,0.5,0.5,4.25,4.75,33.9255,Compas
78,0,0,Male,25,Portugal,2,White,6,6,5,6,5.75,652.0,5,4,4,5,4,5,4,4,4.375,5,2,4,4,4,4,3,4,3.75,0.625,0.45833333333333326,0.5,0.5,0.25,0.0,4.5,5.0,28.626500000000004,Compas
79,0,0,Male,25,Spain,3,White,6,7,6,6,6.25,734.0,5,4,4,2,4,4,3,5,3.875,5,5,5,4,5,5,5,5,4.875,0.5083333333333333,0.7083333333333333,1.0,,0.0,0.25,4.75,4.5,55.64000000000001,Compas
80,0,1,Male,23,Poland,2,White,6,5,7,5,5.75,439.0,4,5,4,3,4,4,3,4,3.875,4,4,3,4,4,3,5,4,3.875,0.625,0.875,1.0,1.0,0.5,1.0,4.5,4.5,31.146,Compas
81,0,1,Female,27,United Kingdom,1,White,4,5,4,5,4.5,473.0,4,4,2,3,3,3,4,4,3.375,5,4,3,3,4,2,3,3,3.375,0.625,0.5416666666666666,0.75,0.5,0.0,0.25,3.25,3.75,47.34275,Compas
82,0,1,Male,26,South Africa,1,Black,5,6,5,6,5.5,525.0,4,4,3,4,4,4,4,4,3.875,4,4,4,3,2,3,4,4,3.5,0.1875,0.25,0.25,0.6666666666666666,0.5,0.25,4.0,4.0,36.58725,Compas
83,0,1,Female,24,Spain,3,White,6,4,3,6,4.75,530.0,3,4,2,4,3,5,4,5,3.75,4,5,4,4,4,5,4,3,4.125,0.20833333333333331,0.20833333333333331,0.5,0.0,0.0,1.0,4.25,4.5,32.201499999999996,Compas
84,0,1,Male,25,Czech Republic,2,White,5,6,5,7,5.75,615.0,4,5,3,5,5,5,5,5,4.625,5,3,4,3,5,3,4,5,4.0,0.5833333333333334,0.8333333333333333,1.0,0.3333333333333333,0.25,0.0,3.25,5.0,41.82,Compas
85,0,1,Male,53,Portugal,3,White,5,4,5,6,5.0,609.0,3,4,2,5,4,4,4,3,3.625,4,3,4,4,4,3,3,4,3.625,0.625,0.37499999999999994,0.5,0.3333333333333333,0.25,0.25,4.0,4.0,37.43,Compas
86,0,1,Female,24,South Africa,2,Black,7,7,7,7,7.0,650.0,5,5,5,5,5,5,5,5,5.0,5,5,5,5,5,5,5,5,5.0,0.47916666666666663,0.8333333333333333,1.0,,0.0,0.75,5.0,5.0,40.82275,Compas
87,0,1,Female,26,Poland,3,White,3,7,4,5,4.75,670.0,3,3,2,2,4,4,4,3,3.125,5,5,4,4,4,3,4,4,4.125,0.625,0.75,0.75,0.0,0.0,0.25,3.75,4.5,43.90075,Compas
88,0,1,Female,28,Portugal,3,White,4,5,3,4,4.0,735.0,2,3,2,3,4,4,4,4,3.25,4,3,2,2,3,3,2,4,2.875,0.4625,1.0,1.0,0.0,-0.25,0.0,3.25,4.0,38.16825,Compas
89,0,1,Male,27,Hungary,2,White,6,6,6,6,6.0,818.0,4,4,5,4,4,5,3,4,4.125,5,4,4,4,5,5,5,3,4.375,0.5416666666666666,0.5416666666666666,0.75,,0.0,0.75,5.0,5.0,60.67625,Compas
90,0,1,Male,20,Poland,0,White,5,7,6,6,6.0,951.0,4,2,2,2,4,4,4,4,3.25,5,5,3,2,3,3,4,4,3.625,0.5208333333333333,0.625,0.75,0.6666666666666666,0.5,-0.25,4.0,4.5,55.539500000000004,Compas
91,0,1,Female,21,South Africa,0,Black,4,3,3,3,3.25,1007.0,2,2,2,3,2,3,3,2,2.375,2,2,3,1,2,2,1,2,1.875,0.4541666666666666,0.6666666666666666,0.75,0.5,0.25,0.0,4.0,3.75,55.34325,Compas
92,0,1,Male,32,Poland,2,White,3,6,2,2,3.25,1100.0,3,3,1,4,3,5,2,4,3.125,4,4,4,4,1,1,5,1,3.0,0.3880952380952381,1.0,1.0,0.0,0.0,-0.25,2.5,4.5,96.797,Compas
93,0,1,Female,31,South Africa,2,Mixed,6,6,6,6,6.0,574.0,4,3,4,4,4,4,4,4,3.875,4,3,4,3,3,3,4,4,3.5,0.28125,1.0,1.0,1.0,0.25,1.0,4.25,4.5,32.937749999999994,Compas
94,0,1,Male,44,United Kingdom,2,White,6,6,5,5,5.5,1101.0,4,4,4,4,4,4,5,4,4.125,5,5,4,3,4,4,4,4,4.125,0.375,0.9166666666666666,1.0,0.6666666666666666,0.5,0.75,3.5,3.75,59.344750000000005,Compas
95,0,1,Male,39,Greece,1,White,3,3,2,3,2.75,822.0,2,1,1,1,4,1,4,3,2.125,3,2,1,2,1,2,2,2,1.875,0.45,0.9166666666666666,1.0,0.5,0.0,-0.25,3.25,3.75,47.98975,Compas
96,0,1,Male,30,Poland,2,White,5,5,5,5,5.0,1848.0,3,2,3,4,4,4,2,4,3.25,5,3,4,4,4,3,4,4,3.875,0.6666666666666666,1.0,1.0,0.5,0.25,-0.25,4.0,4.25,60.00825,Compas
97,0,1,Male,24,Portugal,2,White,5,3,5,5,4.5,2095.0,4,3,2,4,2,3,3,4,3.125,4,4,4,3,4,3,3,4,3.625,0.41666666666666663,0.4583333333333333,0.75,0.0,0.0,0.0,3.5,3.5,32.93675,Compas
98,0,1,Male,24,Spain,2,White,5,6,5,5,5.25,628.0,3,4,4,3,4,4,4,5,3.875,4,5,4,4,5,4,4,5,4.375,0.6666666666666666,0.41666666666666663,0.5,0.0,0.0,0.5,4.5,5.0,29.88075,Compas
99,0,1,Female,23,Mexico,0,White,6,5,6,7,6.0,658.0,5,5,5,5,5,5,4,5,4.875,5,4,5,5,4,4,5,5,4.625,0.75,0.5833333333333334,0.75,0.6666666666666666,0.5,1.25,4.75,5.0,53.975750000000005,Compas
100,1,0,Male,50,Italy,2,White,6,5,6,6,5.75,418.0,4,4,4,4,4,4,4,3,3.875,5,4,4,4,3,3,4,4,3.875,0.5416666666666666,0.42499999999999993,0.5,0.0,0.0,0.25,4.25,4.5,28.9575,Compas
101,1,0,Female,21,United Kingdom,0,White,5,5,4,6,5.0,591.0,2,4,2,5,4,4,4,4,3.625,4,2,4,4,4,5,2,4,3.625,1.0,0.4666666666666666,1.0,0.5,0.25,0.0,3.75,3.0,16.222250000000003,Compas
102,1,0,Male,22,South Africa,2,Black,5,5,4,5,4.75,486.0,5,5,5,5,5,5,5,5,5.0,5,4,4,4,4,4,3,4,4.0,0.3625,0.525,0.75,0.0,0.0,0.0,2.5,3.0,31.67975,Compas
103,1,0,Male,29,United States,2,White,5,6,5,6,5.5,425.0,5,4,5,5,4,5,5,5,4.75,5,4,4,4,4,5,2,4,4.0,1.0,1.0,1.0,0.0,0.0,0.25,3.75,4.75,38.565,Compas
104,1,0,Male,24,United States,3,White,5,7,5,4,5.25,523.0,4,4,2,5,4,5,4,4,4.0,5,5,5,5,5,4,5,4,4.75,1.0,0.475,1.0,0.5,0.25,-0.25,3.5,4.5,30.671750000000003,Compas
105,1,0,Female,24,Poland,0,White,5,6,4,5,5.0,576.0,4,3,4,3,4,4,4,4,3.75,4,5,4,3,4,4,5,4,4.125,0.8125,1.0,1.0,1.0,0.5,0.75,4.5,4.5,33.83725,Compas
106,1,0,Female,20,Portugal,0,White,5,6,5,6,5.5,610.0,4,4,4,4,4,4,4,4,4.0,4,4,4,4,2,2,3,2,3.125,1.0,1.0,1.0,0.0,0.25,0.0,3.75,4.0,72.187,Compas
107,1,0,Female,42,South Africa,2,Black,6,5,5,6,5.5,749.0,4,4,4,4,4,4,4,4,4.0,4,4,4,4,4,4,4,4,4.0,0.29166666666666663,0.18333333333333335,0.0,0.0,0.0,0.0,3.75,4.0,31.342249999999996,Compas
